iter	Passed	Remaining
165	243	1225
166	244	1219
167	245	1213
168	245	1208
169	246	1202
170	246	1196
171	247	1191
172	248	1185
173	248	1180
174	249	1174
175	249	1169
176	250	1165
177	251	1160
178	252	1156
179	252	1151
180	253	1144
181	253	1141
182	254	1136
183	255	1131
184	255	1126
185	256	1121
186	256	1116
187	259	1121
188	260	1117
189	261	1113
190	261	1109
191	262	1104
192	263	1100
193	264	1097
194	265	1094
195	265	1090
196	266	1086
197	267	1082
198	267	1078
199	269	1076
200	269	1072
201	270	1068
202	270	1063
203	271	1059
204	272	1056
205	273	1052
206	273	1049
207	274	1046
208	275	1042
209	276	1038
210	276	1034
211	277	1031
212	278	1027
213	278	1024
214	279	1020
215	280	1017
216	280	1013
217	281	1009
218	282	1006
219	282	1002
220	283	998
221	283	995
222	284	991
223	285	988
224	285	984
225	286	981
226	287	977
227	287	974
228	288	970
229	288	967
230	289	963
231	290	960
232	290	957
233	291	953
234	292	950
235	292	947
236	293	944
237	294	941
238	294	938
239	295	935
240	295	932
241	296	928
242	297	925
243	297	922
244	298	919
245	299	916
246	299	914
247	300	911
248	301	908
249	301	905
250	302	903
251	303	900
252	303	897
253	304	894
254	305	891
255	305	889
256	306	886
257	307	884
258	308	881
259	308	878
260	309	876
261	310	873
262	310	870
263	311	867
264	311	864
265	312	862
266	313	859
267	313	856
268	314	853
269	314	851
270	315	848
271	315	845
272	316	843
273	317	840
274	317	837
275	318	835
276	319	832
277	319	830
278	320	828
279	321	825
280	321	823
281	322	820
282	323	818
283	323	816
284	324	813
285	324	811
286	325	808
287	326	806
288	326	804
289	327	801
290	328	799
291	328	797
292	329	795
293	330	792
294	330	790
295	331	788
296	332	786
297	332	784
298	333	781
299	334	779
300	334	777
301	335	775
302	336	772
303	336	770
304	337	768
305	337	766
306	338	763
307	339	761
308	339	759
309	340	757
310	340	755
311	341	753
312	342	750
313	342	748
314	343	746
315	343	744
316	344	742
317	345	740
318	345	738
319	346	736
320	347	734
321	347	732
322	348	729
323	348	727
324	349	726
325	350	724
326	350	721
327	351	719
328	352	717
329	352	715
330	353	714
331	353	711
332	354	710
333	355	708
334	355	706
335	356	704
336	356	702
337	357	700
338	358	698
339	358	696
340	359	694
341	360	692
342	360	691
343	361	689
344	362	687
345	363	686
346	363	684
347	364	682
348	364	680
349	365	678
350	366	677
351	366	675
352	367	673
353	368	671
354	368	669
355	369	668
356	369	666
357	370	664
358	371	662
359	371	660
360	372	659
361	373	657
362	373	655
363	374	653
364	374	652
365	375	650
366	376	648
367	377	647
368	377	645
369	378	644
370	379	642
371	379	640
372	380	639
373	381	637
374	381	636
375	382	634
376	382	632
377	383	631
378	384	629
379	384	627
380	385	626
381	386	624
382	386	623
383	387	621
384	388	620
385	389	618
386	389	617
387	390	615
388	391	614
389	391	612
390	392	611
391	393	609
392	393	608
393	394	606
394	395	605
395	395	603
396	396	602
397	397	600
398	398	599
399	398	598
400	399	596
401	400	595
402	401	594
403	401	592
404	402	591
405	403	589
406	403	588
407	404	587
408	405	586
409	406	585
410	407	583
411	407	582
412	408	580
413	409	579
414	409	577
415	410	576
416	411	574
417	411	573
418	412	572
419	413	570
420	413	569
421	414	567
422	415	566
423	415	564
424	416	563
425	417	561
426	417	560
427	418	559
428	419	558
429	419	556
430	420	555
431	421	553
432	421	552
433	422	550
434	423	549
435	423	548
436	424	546
437	425	545
438	425	543
439	426	542
440	426	541
441	427	539
442	428	538
443	428	536
444	429	535
445	429	534
446	430	532
447	431	531
448	432	530
449	432	528
450	433	527
451	433	526
452	434	524
453	435	523
454	435	522
455	436	520
456	437	519
457	437	517
458	438	516
459	438	515
460	439	513
461	440	512
462	440	511
463	441	510
464	442	508
465	443	507
466	443	506
467	444	505
468	445	503
469	445	502
470	446	501
471	447	500
472	447	499
473	448	497
474	449	496
475	449	495
476	450	494
477	451	492
478	451	491
479	452	490
480	453	488
481	453	487
482	454	486
483	455	485
484	455	483
485	456	482
486	457	481
487	457	480
488	458	478
489	459	477
490	459	476
491	460	475
492	461	474
493	461	473
